name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2025-03-13,90.9,76.5,82.2,100.4,76.5,87.8,75.8,81.9,1.185,100,4.17,rain,0,0,15.2,10.3,322.4,1008.4,39.6,6.1,202,17.4,7,60,2025-03-13T07:20:02,2025-03-13T19:25:28,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-14,89.3,76.6,81.7,99.2,76.6,87.1,75.6,82.4,0.689,100,4.17,rain,0,0,17.2,11.9,296.4,1010.1,41.7,6,237.1,20.2,9,30,2025-03-14T07:19:40,2025-03-14T19:25:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-15,92.6,76.6,82.8,102.6,76.6,88.6,75.6,80.7,0.86,100,4.17,rain,0,0,14.8,7.5,270.9,1009.9,40.4,5.9,206,17.6,8,60,2025-03-15T07:19:18,2025-03-15T19:25:05,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-16,91,78.6,82.2,104.5,78.6,88.4,76.2,82.7,0.174,100,4.17,rain,0,0,13.2,9.9,308.3,1009.7,41.3,5.7,239.3,20.8,8,60,2025-03-16T07:18:56,2025-03-16T19:24:54,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-17,91.2,76.8,82.8,102.1,76.8,88.5,75.6,80,0,0,0,rain,0,0,14.3,9.5,242.3,1009.5,40.4,6.1,260.6,22.5,10,30,2025-03-17T07:18:34,2025-03-17T19:24:41,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-18,95,78.6,84.4,103.9,78.6,90.3,74.5,74.4,0.223,100,8.33,rain,0,0,17.9,5.9,211.6,1010.4,42.7,6.1,280.8,24.1,10,10,2025-03-18T07:18:11,2025-03-18T19:24:29,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-19,91,78.6,83.3,98.9,78.6,88.8,74.4,75.9,0.002,100,4.17,rain,0,0,20.6,6.4,246.4,1012.5,40.5,6.1,188.2,16.2,7,10,2025-03-19T07:17:48,2025-03-19T19:24:17,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-20,85.4,78.4,81.6,96,78.4,87.2,75.4,81.9,0.041,100,4.17,rain,0,0,20.6,7.5,233.3,1013.5,40.7,6.1,132.8,11.4,4,10,2025-03-20T07:17:25,2025-03-20T19:24:04,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-21,89.4,76.8,82.7,96,76.8,86.3,73.3,75,0.104,100,4.17,rain,0,0,21.3,7.4,7.5,1012.7,40.2,5.6,177.5,15.5,6,30,2025-03-21T07:17:02,2025-03-21T19:23:52,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-22,87.1,75.8,82,94.7,75.8,87.6,74,77.3,0,0,0,rain,0,0,22.4,8.8,276.6,1012.1,41.9,5.9,124.1,10.5,5,30,2025-03-22T07:16:39,2025-03-22T19:23:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
